Event,City,date,Discipline,Rank,Athlete
European Youth Cup (B) - Soure (POR) 2019,Soure,2019-04-28,boulder,4,Toby Roberts
IFSC World Cup Salt Lake City 2024,Salt Lake CIty,2024-05-06,boulder,9,Tomoa Narasaki
IFSC World Cup Wujiang 2024,Wujiang,2024-04-14,lead,10,Tomoa Narasaki
IFSC World Cup Keqiao 2024,Keqiao,2024-04-10,boulder,1,Tomoa Narasaki
IFSC World Championships Bern 2023,Bern,2023-08-12,boulder,13,Tomoa Narasaki
IFSC World Championships Bern 2023,Bern,2023-08-12,lead,12,Tomoa Narasaki
IFSC World Championships Bern 2023,Bern,2023-08-12,boulder&lead,3,Tomoa Narasaki
IFSC World Cup Innsbruck 2023,Innsbruck,2023-06-18,lead,15,Tomoa Narasaki
IFSC World Cup Innsbruck 2023,Innsbruck,2023-06-18,boulder,11,Tomoa Narasaki
IFSC World Cup Brixen 2023,Brixen,2023-06-11,boulder,6,Tomoa Narasaki
IFSC World Cup Prague 2023,Prague,2023-06-04,boulder,10,Tomoa Narasaki
IFSC World Cup Salt Lake City 2023,Salt Lake City,2023-05-22,boulder,1,Tomoa Narasaki
IFSC World Cup Seoul 2023,Seoul,2023-04-30,boulder,2,Tomoa Narasaki
IFSC World Cup Hachioji 2023,Hachioji,2023-04-23,boulder,10,Tomoa Narasaki
"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",Japan,2022-10-22,boulder&lead,1,Tomoa Narasaki
"IFSC Asia - Continental Championships (B, L, S, B&L) - Republic of Korea 2022",Seoul,2022-10-16,lead,1,Tomoa Narasaki
"IFSC Asia - Continental Championships (B, L, S, B&L) - Republic of Korea 2022",Seoul,2022-10-16,boulder,1,Tomoa Narasaki
"IFSC Asia - Continental Championships (B, L, S, B&L) - Republic of Korea 2022",Seoul,2022-10-16,boulder&lead,1,Tomoa Narasaki
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2022",Innsbruck,2022-06-26,boulder,7,Tomoa Narasaki
IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,Brixen,2022-06-12,boulder,3,Tomoa Narasaki
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",Salt Lake City,2022-05-23,boulder,7,Tomoa Narasaki
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",Seoul,2022-05-08,boulder,2,Tomoa Narasaki
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2022,Meiringen,2022-04-10,boulder,1,Tomoa Narasaki
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",Moscow,2021-09-21,boulder,2,Tomoa Narasaki
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",Moscow,2021-09-21,lead,5,Tomoa Narasaki
Olympic Games (C) - Tokyo (JPN) 2020,Tokyo,2021-08-06,combined,4,Tomoa Narasaki
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",Innsbruck,2021-06-26,lead,9,Tomoa Narasaki
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",Innsbruck,2021-06-26,boulder,2,Tomoa Narasaki
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",Salt Lake City,2021-05-31,boulder,3,Tomoa Narasaki
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",Salt Lake City,2021-05-31,speed,38,Tomoa Narasaki
